Date,Product,Region,Quantity,Price,Revenue
2025-01-20,Headphones,Delhi,3,3000,9000
2025-03-16,Laptop,Bangalore,4,55000,220000
2025-02-07,Laptop,Bangalore,4,55000,220000
2025-04-22,Keyboard,Mumbai,3,1500,4500
2025-04-03,Laptop,Delhi,9,55000,495000
2025-03-07,Mobile,Bangalore,2,25000,50000
2025-04-10,Headphones,Bangalore,9,3000,27000
2025-01-14,Laptop,Bangalore,1,55000,55000
2025-04-30,Mouse,Bangalore,4,800,3200
2025-02-17,Headphones,Pune,1,3000,3000
2025-03-27,Keyboard,Delhi,3,1500,4500
2025-01-08,Mouse,Delhi,6,800,4800
2025-01-21,Headphones,Delhi,2,3000,6000
2025-03-10,Laptop,Bangalore,1,55000,55000
2025-01-04,Keyboard,Pune,3,1500,4500
2025-01-17,Headphones,Bangalore,1,3000,3000
2025-01-06,Keyboard,Bangalore,5,1500,7500
2025-02-06,Headphones,Bangalore,9,3000,27000
2025-04-05,Mouse,Pune,5,800,4000
2025-04-26,Headphones,Bangalore,1,3000,3000
2025-02-02,Mouse,Pune,7,800,5600
2025-01-25,Headphones,Bangalore,2,3000,6000
2025-02-27,Mobile,Delhi,6,25000,150000
2025-04-24,Headphones,Bangalore,8,3000,24000
2025-03-31,Mobile,Delhi,2,25000,50000
2025-01-09,Laptop,Bangalore,1,55000,55000
2025-04-03,Headphones,Mumbai,7,3000,21000
2025-02-19,Mobile,Delhi,3,25000,75000
2025-02-26,Laptop,Bangalore,7,55000,385000
2025-03-06,Keyboard,Pune,4,1500,6000
2025-01-15,Keyboard,Delhi,7,1500,10500
2025-02-01,Keyboard,Mumbai,2,1500,3000
2025-02-27,Headphones,Pune,6,3000,18000
2025-02-21,Mobile,Mumbai,1,25000,25000
2025-04-17,Mobile,Mumbai,6,25000,150000
2025-01-08,Keyboard,Pune,1,1500,1500
2025-04-13,Mouse,Bangalore,5,800,4000
2025-04-04,Keyboard,Mumbai,4,1500,6000
2025-02-21,Headphones,Delhi,8,3000,24000
2025-01-17,Mouse,Mumbai,3,800,2400
2025-03-31,Headphones,Bangalore,7,3000,21000
2025-03-03,Mouse,Mumbai,5,800,4000
2025-01-01,Laptop,Bangalore,5,55000,275000
2025-04-21,Mobile,Mumbai,1,25000,25000
2025-02-17,Mobile,Bangalore,6,25000,150000
2025-01-01,Laptop,Bangalore,5,55000,275000
2025-01-22,Mouse,Delhi,5,800,4000
2025-03-17,Mouse,Delhi,3,800,2400
2025-04-11,Mobile,Bangalore,3,25000,75000
2025-02-16,Laptop,Pune,5,55000,275000
2025-03-10,Laptop,Mumbai,4,55000,220000
2025-02-08,Keyboard,Bangalore,5,1500,7500
2025-01-23,Keyboard,Pune,5,1500,7500
2025-03-10,Mobile,Mumbai,6,25000,150000
2025-04-05,Keyboard,Mumbai,4,1500,6000
2025-02-27,Mobile,Mumbai,3,25000,75000
2025-04-19,Laptop,Bangalore,5,55000,275000
2025-03-21,Keyboard,Bangalore,8,1500,12000
2025-01-24,Mobile,Pune,4,25000,100000
2025-02-02,Keyboard,Mumbai,3,1500,4500
2025-02-12,Laptop,Pune,3,55000,165000
2025-03-06,Mouse,Bangalore,3,800,2400
2025-04-25,Laptop,Bangalore,2,55000,110000
2025-03-22,Mobile,Delhi,7,25000,175000
2025-04-25,Mobile,Bangalore,2,25000,50000
2025-02-27,Laptop,Delhi,4,55000,220000
2025-02-05,Mouse,Mumbai,8,800,6400
2025-02-05,Laptop,Pune,9,55000,495000
2025-01-24,Mobile,Pune,9,25000,225000
2025-04-22,Headphones,Pune,3,3000,9000
2025-04-13,Keyboard,Mumbai,1,1500,1500
2025-02-24,Mouse,Bangalore,1,800,800
2025-04-09,Mouse,Delhi,9,800,7200
2025-04-23,Laptop,Mumbai,1,55000,55000
2025-03-27,Keyboard,Bangalore,9,1500,13500
2025-02-18,Mouse,Delhi,3,800,2400
2025-01-19,Keyboard,Bangalore,9,1500,13500
2025-01-28,Keyboard,Pune,7,1500,10500
2025-03-10,Keyboard,Delhi,5,1500,7500
2025-02-21,Headphones,Bangalore,9,3000,27000
2025-02-22,Headphones,Pune,4,3000,12000
2025-02-11,Laptop,Delhi,5,55000,275000
2025-02-04,Mobile,Delhi,5,25000,125000
2025-04-21,Mouse,Delhi,2,800,1600
2025-04-12,Keyboard,Pune,1,1500,1500
2025-02-19,Mouse,Bangalore,9,800,7200
2025-01-05,Headphones,Mumbai,2,3000,6000
2025-03-24,Mouse,Pune,6,800,4800
2025-04-26,Mouse,Pune,6,800,4800
2025-03-30,Laptop,Delhi,7,55000,385000
2025-03-11,Mouse,Bangalore,4,800,3200
2025-03-02,Keyboard,Delhi,3,1500,4500
2025-04-01,Keyboard,Mumbai,7,1500,10500
2025-02-08,Mobile,Mumbai,3,25000,75000
2025-04-02,Headphones,Pune,2,3000,6000
2025-03-02,Mobile,Bangalore,8,25000,200000
2025-01-03,Laptop,Delhi,1,55000,55000
2025-03-04,Mouse,Bangalore,9,800,7200
2025-02-25,Keyboard,Pune,9,1500,13500
2025-01-06,Laptop,Mumbai,5,55000,275000
2025-03-21,Mobile,Bangalore,5,25000,125000
2025-02-05,Mouse,Delhi,5,800,4000
2025-02-26,Headphones,Delhi,4,3000,12000
2025-02-18,Mobile,Delhi,9,25000,225000
2025-04-28,Laptop,Pune,6,55000,330000
2025-02-26,Headphones,Bangalore,7,3000,21000
2025-04-12,Headphones,Bangalore,8,3000,24000
2025-01-08,Keyboard,Bangalore,5,1500,7500
2025-03-31,Mobile,Bangalore,4,25000,100000
2025-01-28,Mobile,Bangalore,2,25000,50000
2025-04-10,Keyboard,Pune,9,1500,13500
2025-03-14,Headphones,Mumbai,1,3000,3000
2025-03-18,Laptop,Pune,4,55000,220000
2025-01-06,Keyboard,Bangalore,3,1500,4500
2025-02-16,Mobile,Delhi,5,25000,125000
2025-01-30,Laptop,Mumbai,8,55000,440000
2025-04-29,Mobile,Delhi,5,25000,125000
2025-01-18,Laptop,Mumbai,1,55000,55000
2025-01-26,Laptop,Delhi,5,55000,275000
2025-03-18,Laptop,Mumbai,1,55000,55000
2025-04-09,Laptop,Mumbai,9,55000,495000
2025-01-06,Laptop,Pune,7,55000,385000
2025-04-05,Keyboard,Pune,5,1500,7500
2025-02-22,Mouse,Mumbai,3,800,2400
2025-03-15,Mouse,Pune,5,800,4000
2025-03-26,Mobile,Delhi,1,25000,25000
2025-02-20,Laptop,Mumbai,1,55000,55000
2025-03-03,Mouse,Pune,4,800,3200
2025-02-01,Laptop,Pune,8,55000,440000
2025-02-08,Mobile,Bangalore,8,25000,200000
2025-02-23,Mobile,Mumbai,2,25000,50000
2025-01-12,Headphones,Delhi,2,3000,6000
2025-04-04,Laptop,Mumbai,5,55000,275000
2025-04-22,Headphones,Pune,1,3000,3000
2025-03-16,Mouse,Pune,2,800,1600
2025-03-05,Headphones,Delhi,6,3000,18000
2025-02-19,Keyboard,Mumbai,6,1500,9000
2025-03-04,Mobile,Mumbai,3,25000,75000
2025-02-07,Mobile,Bangalore,9,25000,225000
2025-04-16,Laptop,Bangalore,7,55000,385000
2025-01-29,Headphones,Pune,5,3000,15000
2025-01-17,Keyboard,Mumbai,8,1500,12000
2025-03-29,Mobile,Pune,4,25000,100000
2025-02-22,Mouse,Mumbai,6,800,4800
2025-04-21,Mobile,Pune,3,25000,75000
2025-03-21,Laptop,Delhi,7,55000,385000
2025-01-04,Headphones,Mumbai,8,3000,24000
2025-03-08,Keyboard,Bangalore,9,1500,13500
2025-03-02,Headphones,Delhi,2,3000,6000
2025-01-21,Mobile,Delhi,3,25000,75000
2025-01-21,Mouse,Mumbai,6,800,4800
2025-01-12,Laptop,Pune,9,55000,495000
2025-02-18,Mobile,Mumbai,2,25000,50000
2025-01-26,Mobile,Pune,9,25000,225000
2025-03-27,Laptop,Delhi,9,55000,495000
2025-01-26,Headphones,Delhi,1,3000,3000
2025-04-23,Keyboard,Pune,8,1500,12000
2025-03-20,Headphones,Pune,4,3000,12000
2025-03-19,Mobile,Bangalore,7,25000,175000
2025-04-25,Mobile,Pune,8,25000,200000
2025-04-20,Headphones,Delhi,7,3000,21000
2025-02-07,Headphones,Delhi,2,3000,6000
2025-04-29,Headphones,Delhi,9,3000,27000
2025-02-26,Mouse,Bangalore,7,800,5600
2025-03-31,Laptop,Delhi,6,55000,330000
2025-01-13,Keyboard,Pune,1,1500,1500
2025-01-10,Keyboard,Pune,4,1500,6000
2025-04-21,Headphones,Pune,2,3000,6000
2025-02-03,Keyboard,Delhi,6,1500,9000
2025-02-11,Laptop,Bangalore,3,55000,165000
2025-02-21,Laptop,Pune,6,55000,330000
2025-02-28,Mobile,Bangalore,2,25000,50000
2025-04-11,Headphones,Pune,6,3000,18000
2025-01-22,Laptop,Pune,5,55000,275000
2025-04-29,Mouse,Mumbai,6,800,4800
2025-02-24,Keyboard,Mumbai,8,1500,12000
2025-04-25,Laptop,Delhi,3,55000,165000
2025-04-05,Mouse,Bangalore,8,800,6400
2025-03-20,Mobile,Bangalore,4,25000,100000
2025-04-12,Laptop,Mumbai,8,55000,440000
2025-03-07,Headphones,Mumbai,9,3000,27000
2025-02-14,Headphones,Bangalore,3,3000,9000
2025-01-26,Keyboard,Pune,6,1500,9000
2025-04-07,Keyboard,Delhi,4,1500,6000
2025-03-31,Keyboard,Pune,1,1500,1500
2025-03-18,Mouse,Mumbai,4,800,3200
2025-01-06,Headphones,Delhi,1,3000,3000
2025-01-23,Mobile,Bangalore,5,25000,125000
2025-01-13,Mobile,Bangalore,2,25000,50000
2025-03-04,Mobile,Bangalore,1,25000,25000
2025-01-09,Mouse,Pune,1,800,800
2025-02-07,Headphones,Delhi,8,3000,24000
2025-03-10,Headphones,Mumbai,1,3000,3000
2025-03-19,Keyboard,Bangalore,2,1500,3000
2025-02-03,Mouse,Bangalore,9,800,7200
2025-01-01,Keyboard,Delhi,3,1500,4500
2025-01-11,Keyboard,Bangalore,8,1500,12000
2025-03-26,Laptop,Pune,3,55000,165000
2025-03-19,Mouse,Pune,3,800,2400
2025-03-30,Mobile,Mumbai,4,25000,100000
2025-01-18,Mouse,Mumbai,9,800,7200
2025-04-07,Headphones,Pune,6,3000,18000
2025-04-07,Laptop,Pune,1,55000,55000
2025-04-14,Mobile,Mumbai,5,25000,125000
2025-03-11,Headphones,Delhi,3,3000,9000
2025-03-13,Headphones,Delhi,3,3000,9000
2025-01-15,Mobile,Bangalore,4,25000,100000
2025-04-04,Mouse,Pune,4,800,3200
2025-02-26,Headphones,Bangalore,6,3000,18000
2025-01-27,Laptop,Pune,5,55000,275000
2025-03-27,Laptop,Mumbai,4,55000,220000
2025-03-15,Mobile,Mumbai,5,25000,125000
2025-01-13,Laptop,Mumbai,6,55000,330000
2025-02-21,Keyboard,Pune,8,1500,12000
2025-01-29,Mouse,Bangalore,5,800,4000
2025-01-27,Keyboard,Bangalore,2,1500,3000
2025-02-05,Headphones,Delhi,4,3000,12000
2025-01-20,Mobile,Delhi,5,25000,125000
2025-02-07,Headphones,Mumbai,8,3000,24000
2025-03-03,Mobile,Mumbai,8,25000,200000
2025-04-21,Mobile,Pune,1,25000,25000
2025-04-22,Keyboard,Delhi,4,1500,6000
2025-02-06,Keyboard,Pune,8,1500,12000
2025-04-28,Mobile,Pune,9,25000,225000
2025-02-10,Headphones,Pune,8,3000,24000
2025-02-15,Headphones,Delhi,1,3000,3000
2025-02-23,Mouse,Pune,4,800,3200
2025-02-24,Laptop,Pune,6,55000,330000
2025-02-16,Headphones,Bangalore,5,3000,15000
2025-03-15,Laptop,Pune,9,55000,495000
